timestamp,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,magX,magY,magZ
679547.0,0.281738,-0.945557,-0.231567,-5.249023,2.13623,-4.455566,-5.0,-1.0,-41.0
679579.0,0.290161,-0.946411,-0.2229,-5.981445,2.990722,-3.723144,-5.0,-1.0,-41.0
679613.0,0.294189,-0.942993,-0.224487,-6.16455,1.708984,-4.333496,-5.0,-1.0,-43.0
679645.0,0.300659,-0.938599,-0.228638,-6.16455,1.525879,-5.615234,-5.0,-1.0,-43.0
679679.0,0.289917,-0.942505,-0.224731,-7.202148,1.647949,-7.080078,-5.0,-1.0,-43.0
679714.0,0.272217,-0.951782,-0.213501,-7.751464,4.455566,-8.361816,-5.0,0.0,-45.0
679748.0,0.265747,-0.956787,-0.214722,-8.483887,5.676269,-8.361816,-5.0,0.0,-45.0
679782.0,0.253662,-0.968506,-0.200684,-9.887695,7.568359,-9.643555,-5.0,0.0,-45.0
679822.0,0.26123,-0.960937,-0.202759,-12.878417,11.047362,-12.634276,-4.0,2.0,-41.0
679856.0,0.256592,-0.969116,-0.191162,-14.770507,11.779784,-16.418457,-4.0,2.0,-41.0
679890.0,0.255981,-0.972778,-0.186768,-15.502929,11.596679,-20.935057,-4.0,2.0,-41.0
679929.0,0.251343,-0.957153,-0.191528,-15.441894,11.291503,-26.245115,-5.0,0.0,-39.0
679967.0,0.181519,-1.004395,-0.168091,-15.624999,18.127441,-28.747557,-5.0,0.0,-39.0
680000.0,0.177734,-1.001709,-0.176636,-16.357422,22.033689,-29.418943,-5.0,0.0,-39.0
680036.0,0.206055,-1.020142,-0.179443,-14.648437,31.372068,-31.494139,-8.0,5.0,-37.0
680069.0,0.183472,-0.99292,-0.168335,-14.343261,25.817869,-32.714844,-8.0,5.0,-37.0
680105.0,0.166992,-1.010376,-0.153442,-12.512206,22.644041,-32.592773,-8.0,7.0,-40.0
680137.0,0.117065,-0.943604,-0.175415,-6.713867,20.080564,-25.878904,-8.0,7.0,-40.0
680171.0,0.083862,-0.983765,-0.120605,-8.544922,20.874022,-21.911619,-8.0,7.0,-40.0
680207.0,0.039551,-0.957153,-0.117065,-2.563476,0.915527,-18.859863,-5.0,6.0,-40.0
680244.0,-0.016602,-0.996338,-0.09375,-3.234863,-6.774902,-11.108397,-5.0,6.0,-40.0
680278.0,0.072388,-0.951538,-0.114136,-4.455566,-13.000487,-8.239746,-5.0,6.0,-40.0
680313.0,0.013306,-0.966431,-0.13916,-0.732422,-20.1416,-4.394531,-5.0,5.0,-37.0
680350.0,0.028564,-0.993408,-0.164795,-1.708984,-13.85498,0.427246,-5.0,5.0,-37.0
